type,category,review,star
SK매직 식기세척기,별점,걸래받이가 16.5센티라 상세설명보고 문을 제작했는데 약간 길어요~아랫부분이 일체감이 있어야 깔끔하게 빌트인 효과가 좋은데 그점이 좀 아쉽네요~그래도 설치기사님이 최대한 맞춰줬어요~ 소음은 좀 있는편이애요. 소리가 드럼세탁기 소리만큼 소음이 있네요~밤에 돌리는건 안될듯하고 저녁즘에 다 돌리고 자야할듯하고요~리뷰에 냄새가 난다는 말이 많던데 아주 조금 았는 정도라 신경쓰이지는 않았어요~세척력은 제가 처음이라 그릇을 잘 배열을 못해서인지 스텐재질은 만족스럽진 않구요. 사기그릇재질은 반딱반딱하게 잘 닦여서 나오네요~좀 더 내공을 쌓아서 사용해야 할듯해요~,평점4
SK매직 식기세척기,별점,"입주때 빌트인되어있던(십여년넘은듯)
DWA-7201B를 사용하다 고장나서
7303b로 주문했어요.
가격저렴 하고 그전에 썼던것도  만족했던터라~
이것도 만족할듯해요.
그리고 도어패널이 전꺼랑 맞을꺼같아서 (사이즈대충재보니) 주문안했는데
설치오셔서 하시더니  사이즈가 안맞더라고요.ㅠ
도어패널을  시키고
다시 오셔서 설치해주신다하더라고요.
두번걸음 하게 해드렸다는ㅠ
패널만 다시 시키자니 ㅠ
사이즈 그려달라해서
동네 목공소가서  대충 잘른다했어요.제가 그런거신경 안쓰는타입이라ㅎ전체적으로 저희 싱크대도 더러워서ㅎ근데 저같은경우로  비슷한 제품쓰다 바꾸시는거라도
도어패널 미리 주문하세요~~",평점4
SK매직 식기세척기,별점,"무료설치는 아니고 세제는 받았습니다.
싱크장분리 저도 할수 있을듯한데 그걸 5만원이나 받고 그거까지는 안내 되어 있어서 그려러니 했지만 끝장이라 또 뭐가 추가 되더라고요. 역시 추가추가가 기본이죠;;
전에 설치 기사님은 인덕션 거치대도 안내 해 주고 설치까지 해준다고 했았는데 이번에는 우리는 모르니 알라서 해라..
걸레받이 절단을 실내에서 해서 온집안이 나무가루로 난리였고.. 설치하는분도 잘 만나야 하는듯!
상품이 잘 못 된건 아니지만 이런 서비스라면 sk는 다시 구입하지 않을듯 합니다.",평점4
SK매직 식기세척기,별점,"장점: 고온살균, 소음 없음, 가성비 좋음
단점: 건조 기능이 6인용보다 못해요.

기존에 sk6인용 식세기를 만족하며 쓰다가 이번에 이사를 하면서 12인용 식세기 주문했어요. 그런데... 12인용은 건조가 원래 이런가요??? 6인용은 거의 완전건조가 됐었는데 이 제품은 그릇에 물이 흥건해요. 신기한 건 고온으로 세척한 거라 직후 만지면 엄청 뜨거워요. 이 정도 뜨거울 정도면 . 어쨌든 , 운행 중 소음 거의 없어요. +문열고 1시간 후에 보니까 그래도 많이 말랐어요. 수건으로 남은 물기만 닦아 정리했어요. 이왕 ^^",평점4
SK매직 식기세척기,별점,6인용 쓰다가 바꿨는데 많이 들어가 좋아요.냄비를 후라이팬 다 넣어서 돌려도 되고요. 애벌은 늘 해놓는 편이라 깨끗이 잘 닦여요. 설치가 미흡해서 한번 더 오셔서 손봐주셨어요. 워낙 저희집 주방 바닥이 고르지 못한것이 문제였지만 조금 틀어져 있는 식기세척기 보면 좀 완벽하진 않아요. 그래도 잘 돌아가고 잘 닦이니 만족하려구요,평점4
SK매직 식기세척기,별점,"시간이 표준기능한시간 정도 걸려요..조금 더 빠르면 좋겠지만. 그래도 설거지 직접 할때보다 편리하긴 합니다. 냄비나 조리도구등 나무나 실리콘으로 된것을 제외해야되서 조금 불편할때도 있어요.
문을 열고 닫을때 물이샐까바 걱정했는데 한번도 새지않네요.
소음도 아주 작진 않지만 가까운곳에 있지 않으면 신경이 크게 쓰이진 않습니다. 잘 사용 하고 있어요",평점4
SK매직 식기세척기,별점,"좋아요
신청하고 아주 빨리 설치 진행했어요
주의사항 설명주셨구요
세제 주셨구요
뜨거운 물(75도라고하셨음)로 씻어서 건조되니
문 열어두면 깔끔하게 마르구요
처음에는 냄새가 좀 나서 다시 씼었어요
손으로 닦고 여러번헹구는것보다 깨끗이 닦이는거같진 않지만
수고를 덜고 물을 아끼고 시간을 번다는 것 만으로도 설치할 필요가 확실합니다",평점4
SK매직 식기세척기,별점,"싱크설치하면서 주문했는데 무척깔끔해요.
문열림기능 있는거로 하려다가 돈도 아끼고 가장 깔끔해보여서 이걸로 픽했는데 맘에 드네요. 어차피 집에 있을때 세척기 돌려서 다 되면 살짝 문열어 두고 말려요. 보내준 식기린스랑 같이 사용하니 그릇에 얼룩도 안생기고 좋네요.
다만 첨 일주일가량동안 세척기돌리면 아스콘냄새? 그게 너무 심하네요.",평점4
SK매직 식기세척기,별점,"잘 설치했어요. 공사비 15만원 들었어요. 일주일째 사용중인데 냄새가 좀 나요... 작동은 잘 되는데, 기대했던만큼 신세계는 아니예요. 애벌설거지 안하면 무용지물이라 애벌에 신경을 엄청 쏟게 되네요. 그리고 그릇배치도 잘 해야되고... 일이 줄어드는건 맞는데 그렇게 편리한건 모르겠어요...",평점4
SK매직 식기세척기,별점,"아파트 인테리어 하면서 도장싱크대에 맞춰 도어패널형으로 설치했는데 아주 딱 맞네요. 물론 그 전에 정확한 치수를 재야 하고 설치하실 때 애를 먹으셨지만 매우 저렴한 가격에 예쁜 식세기를 설치한 듯해 가성비, 가심비 다 만족입니다.",평점4
SK매직 식기세척기,별점,"한달이상 사용 후기
상하분리 기능 있어서 좋습니다
시간절약면에선 훌륭하지만 물얼룩이 남습니다
세제를 일부러 조금 넣는데도 상관없이 얼룩이 지네요
자동문열림 기능 없어서 자리를 비우게되서 문을 안열어두면 꿉꿉한 느낌은 어쩔수없구요
여유있으신분들은 자동문열림기능 있는걸로 하는걸 추천드립니다",평점4
SK매직 식기세척기,별점,"설거지편하려고 들였는데 밥풀이나 달라붙은 음식은 잘 제거가 안 되고 붙은 찌꺼기가 많아요.
그래서 한번 기본적으로 설거지를 간단히 해서 넣고 쓰고 있어요.
살균도 할겸해서 구입했으니 큰 불만 없이 잘 쓰고 있는데.. 아예 손이 안 가는건 아니지요.
식기가 살균된다는 장점 때문에 대체적으로 만족합니다.",평점4
SK매직 식기세척기,별점,"그동안의 고민이 무색할 정도로 편하구 좋습니다.
그런데 건조가 좀 아쉬워요.
완료후 문을 바로 열어놓는데도 수저통 아래도 물이 흥건하고 상단에 날개에도 물기가 있어 아래칸으로 떨어집니다.건조만 완벽하게 된다면 정말 좋겠어요.",평점4
SK매직 식기세척기,별점,"가격대비 만족합니다. 고가 라인 식기세척기는 사용 안 해 봤지만 가격 대비 대만족입니다. 젊은 나이에 손 관절염이 와서 손을 많이 사용 못 하고 맞벌이 중 이어서 시간도 없지만.. 설거지 모아 놨다가 한꺼번에 돌려 놓고 그 동안 다른 일 할 수도 있고, 만족하고 사용 중 입니다. 그릇 위치를 어떻게 놓느냐에 따라 세척 여부가 살짝 달라지 는 것 같지만 전 그래도 만족입니다. ㅋㅋㅋ 신세계~~~",평점4
SK매직 식기세척기,별점,"1. 가성비가 좋으며 바로바로 설치일정 조율가능해 서비스부분 만족

2. 설치기사님 별도로 설치전 확인부분 가이드 잘해주심 만족

3. 빌트인전용이고 별도 판넬 주문했으나 판매자와의 소통에서 판넬 오주문으로 번거로움이 있었으나 빠르게 대응해주심",평점4
SK매직 식기세척기,별점,음 친구가 가성비 좋다고 추천해서 구매했어요 세척후 뜨끈뜨끈하니 세척및살균은 아주 좋은것같은데 건조가 완벽히 되지는 않는듯해서 아쉽네요 사장님도 친절하시고 설치기사님도 매우 친절하게 신경서서 설치해주셨어요^^,평점4
SK매직 식기세척기,별점,유럽꺼 살까 엄청고민을 했었는데 그릇놓는 판도 그렇고 한국형이 좋을꺼 같더라구요 그래서 SK 동양매직을 선택했고 주변에서도 많이 쓰네요 인테리어효과상 메탈블랙을 했어요 넘넘 이쁘고 기능도 복잡하지 않아서 좋아요,평점4
SK매직 식기세척기,별점,"성품자체는 좋으나 절차성의 번거로움과
(규격이 맞는지 사람불러서 미리확인
도어를 택배로 따로 받아야함)
설치비는 무료라 하나 싱크장 철거비용(5만)과
맨 끝쪽이라 보강작업비(2만)이 추가로 지출됨",평점4
SK매직 식기세척기,별점,"이사 다니면서 매번 빌트인된 엘지만 썼었는데, 뭔가 가볍고 약한 느낌은 있는데, 세척은 잘되네여. 가성비가 좋은 것이 큰 장점이네요.
그리고 배송은 정말 빠르네여. 주말인데도 주문하고 바로 다음날 설치했어요.",평점4
SK매직 식기세척기,별점,한 달 사용해도 여전히 뻑뻑하긴 하지만 편리하고 가격 대비 만족해요. 그런데 아파트에 빌트인으로 되어있던 지난 제품에 비해서 건조가 좀 안되는 거 같긴 하네요~,평점4
SK매직 식기세척기,별점,"거의 매일 잘 사용하고 있어요.
자동 문열림 기능이 없어서 걱정했는데 저녁먹고 작동 시작하고 부엌 정리하고 샤워하고 잘 준비 하면 완료 되어 문 열고 그릇들 앞으로 땡겨서 말립니다.
설거지 시간이 줄어들어 만족합니다.",평점4
SK매직 식기세척기,별점,"가성비 최고예요.
매장에 가면 비싼 제품밖에 없더라고요.
자동문 열림기능도 조금밖에 안열리니까 어차피 사람이 열어야 하거든요.
070번호로 연락이 너무 안되서 별하나 뺐습니다.",평점4
SK매직 식기세척기,별점,"잘 닦이고 좋아요.같이주신 세제에 린스도 같이있는거라 그런가 좀 미끈해서 찝찝하긴하더라구요.
그래서 반으로 쪼개서 반만쓰니 훨씬 괜찮아요~
설거지 시간도 줄이고 좋네요.주부습진이 자주 생기는 저에겐 진짜 좋네요~",평점4
SK매직 식기세척기,별점,"자리가없어 가스렌지 아래 빌트인으로
설치했습니다. 상단 바 제거 5만원만
추가비용 들었네요.
주문 담날에 바로 설치까지 되고
제품도 만족해요.
설거지옥 해방입니다",평점4
SK매직 식기세척기,별점,"설치에 2시간 넘게 걸렸는데..기사분이 너무 힘들어해서 난감했네요 ㅎㅎ
설치는 깔금하게 마무리되었고
바로 사용해봤어요.
만족스러워요",평점4
SK매직 식기세척기,별점,"기사님 친절하시구, 사용시 소음좀 있어요
냄비종류는 깨끗이 안닦이며~ 간단한 밥그릇.국그릇.반찬그릇.컵.수저 정도는 무난히 설겆이 되요
가격대비 좋네요",평점4
SK매직 식기세척기,별점,"설치 꼼꼼히 해주었구요
주방인테리어와 잘어울리고
기능도 심플 하지만 효율적이네요

대가족 설겆이 스트레스에서
해방이 될 것 같네요",평점4
SK매직 식기세척기,별점,"새기계라 그런지 문 열릴 때 좀 빡빡 하네요.
그동안 빌트인 식기세척기 잘 쓰다가 고장 나서 이번에 바꿨구요 .
설치 기사님들은 매우 친절하셨어요.
사은품으로 받은 세제가 흘러서 별 하나 빼요~",평점4
SK매직 식기세척기,별점,"저는 바짝건조가 되는줄 알았는데
끝나고 문을 한참 열어놔야하는 시스템인지 모르고 샀어요;;;건조가 중요했는데...
가끔가다 설거지 귀찮을때 사용하면 유용해요",평점4
SK매직 식기세척기,별점,"사용법을 모르는지 건조기능을 원래 좀안돼나요 모양은 좋구 이쁜데 아쉬웁네여
가격대비 좋아요 이쁘고",평점4
SK매직 식기세척기,별점,"지정된 날짜와 시간에 맞춰서 설치해주셨어요!
식기세척기 큰걸로 샀는데 확실히 많이 들어가네요 작은거 샀으면 후회할뻔햇어요!
다만 자동문열림기능이 들어간걸로 샀으면 더 편했을거같아요
식기세척기 만족입니다!",평점4
SK매직 식기세척기,별점,"제품은 만족하나 제품 설명이 부족하네요.
문 높이 선택 cm 기재되어있어 문 제작시 걸레받침대가 당연히 같이오는줄 알았으나 같이 오지 않는 선택사항이더군요.

걸레받침대를 어떻게 해결해야할지 고민중입니다.",평점4
SK매직 식기세척기,별점,전에 사용하던거 보다 훨씬 조용합니다. 문열림이 조금 빡빡한데 원래 그런거라니 어쩔수 없지만 열때마다 조금 힘들긴하네요,평점4
SK매직 식기세척기,별점,"소음적고、시간은 오래걸려요.
살균소독되는것같아서 안심하고 쓰고있어요.
애벌해서 넣어야해서 좀 번거롭지만
편안해요.",평점4
SK매직 식기세척기,별점,"3인가족 기준 12인용은 다소 크네요. 6인용도 충분할듯 해요. 초벌 설거지 후 음식물 없는 상태에서 사용해야해요. 플라스틱류, 기름기때는 세척이 잘안되네요.",평점4
SK매직 식기세척기,별점,"도어 맞춤이라 외관은 깨끗합니다
이사전이라 실사용은 아니지만 새로산 그릇들 세척해보니 건조는 거의 안되네요
그래도 만족하고 쓰렵니다",평점4
SK매직 식기세척기,별점,설거지 너무 하기 싫어서 구매 했 만족 해요 머 자동 문 않열리면 어때요 잘 만 잘쓰고 있어요 ㅎㅎ,평점4
SK매직 식기세척기,별점,"잘 애용하고 있습니다 전기세는 확 늘긴했어요
누진세가 붙어서 이만원가량 늘었내요
하루에 한번 몰아서 돌리는중입니다.",평점4
SK매직 식기세척기,별점,"어머니 집에 설치하는거라 가보지 못해서 걱정했었는데, 설치해 주시는 마스터님께서 성심성의껏 해주셔서 좋았습니다~^^",평점4
SK매직 식기세척기,별점,"가격대비 좋은 상품임은 확실하지만
세척후 자동 문열림 기능이 있으면 좋겠다는 생각이 듭니다.돌려놓고 외출했다가 오거나 할때
좋은기능",평점4
SK매직 식기세척기,별점,예약 날짜에 잘 설치 받았습니다..인테리어 공사중 받아서 자리도 비웠었는데 설치 잘해주시고 사은품도 챙겨주시고 인증 사진도 보내주셨어요 .감사해요,평점4
SK매직 식기세척기,별점,만족합니다.. 집사람이 엄청 좋아하네요.. 엘지보다 훨씬 저렴하면서도 성능은 뛰어난듯..,평점4
SK매직 식기세척기,별점,오자마자 돌렸어요 ㅋ자동문열림이랑 고민햇지만 저는 디자인이 우선이라...ㅎ 잘쓸게요,평점4
SK매직 식기세척기,별점,생각보다 깨끗이 되지는 않아서 매일은 안쓰지만 가끔설겆이 하기싫을때 잘쓰고있어요,평점4
SK매직 식기세척기,별점,소음이 좀 있네요. 시댁에 좀 더비싼 다른 제품은 조용하던데 그래도 세척은 굿입니다,평점4
SK매직 식기세척기,별점,"가성비 좋아요
기능이 더 보완되고 가격이 올라가도
바람직함 설치기사님 별 다섯개~^^",평점4
SK매직 식기세척기,별점,전에 6인용 쓰다 이사오면서 12인용으로 구매했어요 생각보다 큰 사이즈라 장공사 함께 연결해 진행했어요 당일 공사 뒤에 바로 기계도 설치할 수 있어 좋았습니다,평점4
SK매직 식기세척기,별점,"식세없인 못삽니다.
대형식세는 허리를 구부려야한다는 치명적인 단점 하나 외에는 모두 용서할수 있어요 ㅎㅎ",평점4
SK매직 식기세척기,별점,현재까지 아무문제 없고 예전 동양매직인 식기세척기 보다 기능도 좀 더 좋고 잘 돌아갑니다. 잘쓰고 있습니다.^^,평점4
SK매직 식기세척기,별점,배송은 거의 일주일 걸린거 빼곤 기능은 기존에 쓰던 거라 쓸만해요. 완전 최신품은 아니지만 쓸만함 괜찮아요.,평점4
SK매직 식기세척기,별점,설치도 잘해주시고 있으니 너무 편해요~! 그릇도냄비도 많이들어가서 좋습니다~,평점4
SK매직 식기세척기,별점,식기세척기 실버색 패널도 같이 구매하여 설치완료 했습니다. 디자인도 기능도 나쁘지않고 저렴한 가격에 만족합니다.^^ 사은품도 주셨습니다.,평점4
SK매직 식기세척기,별점,어제 주문 후 오늘 배송&설치는 만족세척이 잘되는지 아직 몰라서 별하나 뺌,평점4
SK매직 식기세척기,별점,배송이 일주일정도 걸려서 별하나뺐어요~ 식세기는 너무좋아요~ 매일 사용하고 있어요~ 가성비 최고예요,평점4
SK매직 식기세척기,별점,디자인이 이뻐요 세척은 잘되는거같은데 생각보다 많이 들어가지는 않네요,평점4
SK매직 식기세척기,별점,기대했던것보다 건조는 안되지만 매우 편리해졌어요 잘사용하고있습니다,평점4
SK매직 식기세척기,별점,"그냥그래요,ㅠㅠ인덕션써야되는데 식세기를넣어버려서 몇일못쓰네요ㅠ",평점4
SK매직 식기세척기,별점,"너무편해지고 깨끗해서 좋네요
완전건조가 안되는것만빼면 100점입니다.",평점4
SK매직 식기세척기,별점,보급형 모델이지만 sk매직 믿고 구매했습니다. 배송 설치 다 좋고 상품 기능과 품질도 너무 만족입니다.,평점4
SK매직 식기세척기,별점,원래 썼던제품인데 이사오면서 새로 샀어요아주 깔끔하고 성능좋아요,평점4
SK매직 식기세척기,별점,"가끔 세제가 덜 녹고 붙어 있어 짜증나요 그럴 때는
한 번 더 돌려요",평점4
SK매직 식기세척기,별점,처음에 그릇에 뭐가 좀 묻어낚지만 한달 쓴 지금은 괜찮아졌어요~,평점4
SK매직 식기세척기,별점,"오늘 설치하고 가셨어요.
약속한 날짜에 딱 오시고 금방 설치해주고 가셔서 너무 좋아요.
친절하시고 세제까지 주시네요.",평점4
SK매직 식기세척기,별점,"기본 기능만 있는 제품으로 선택 했어요
세척 잘되고 만족합니다",평점4
SK매직 식기세척기,별점,잘쓰고 있어요 크기 넉넉하고 그릇을 잘 넣으면 세척이 잘됩니다,평점4
SK매직 식기세척기,별점,"배송 좋아요,설치비 5만원 내야 하고요.아직사용은 안해봤어요",평점4
SK매직 식기세척기,별점,제조년이 좀 되었지만 크게 불편하지 않아 재구매했습니다. 신제품가격은 100만이상 비싸서 가격대비 가성비를 고려하여 구매하였습니다. 다음에 구입시는 신제품으로 구매해봐야 겠습니다.,평점4
SK매직 식기세척기,별점,"기본기능에 충실해서 좋아요. 세척잘되고, 자동열림버튼기능없는게 아쉽지만 그래도 가성비좋아 만족합니다",평점4
SK매직 식기세척기,별점,애가 셋이라 젖병닦기가 일이였는데 진짜편리하고 좋아요,평점4
SK매직 식기세척기,별점,훨 편하긴 한데 애벌하고 넣어요 완전 세척은 잘안되네여,평점4
SK매직 식기세척기,별점,싱크대 새로 하면서 넣었어요~따뜻한 물도 나오고 좋아요,평점4
SK매직 식기세척기,별점,가성비 좋은 제품. 써보고 좋아서 어머니께 해드렸어요.,평점4
SK매직 식기세척기,별점,"배송,설치 너무 좋았습니다.
식기세척기도 잘 작동해요~",평점4
SK매직 식기세척기,별점,"좋은상품 잘 샀읍니다
설치기사님도 너무 친절하시네요",평점4
SK매직 식기세척기,별점,"아직 사용전이지만 기대가 되네요
설치가 꽤 오래걸렸내요 추가비 오만원 냈고요
깔끔하게 설치가 돼서 좋아요",평점4
SK매직 식기세척기,별점,"좋은데 약간 아쉬운점도 있어요
걸레받이가 안 맞네요",평점4
SK매직 식기세척기,별점,새로 이사갈집 수리중인데 잘어울리고 만족합니다~^^,평점4
SK매직 식기세척기,별점,사용하기 좋습니다. 덕분에 시간적여유가 생겼네요,평점4
SK매직 식기세척기,별점,뒷정리도 깨끗하고 금방 설치해주고가셨어요 ㅎㅎ,평점4
SK매직 식기세척기,별점,설거지를 잘못하는 저에게 딱 맞는 아이템입니다!,평점4
SK매직 식기세척기,별점,딴건안써봐서 비교는못하지만 인생탬으로인증함!,평점4
SK매직 식기세척기,별점,다 좋은데 세제넣고 뚜껑 밀어 닿는게 불편하네요,평점4
SK매직 식기세척기,별점,"판넬도어 별도 구매, 식기세척기 내부 모습..성능은 대체적으로 만족하나 식기세척기 가장자리에 넣은 그릇은 약간 덜 세척되는 것 같아요. 설치기사님은 뭐 그냥그냥...",평점4
SK매직 식기세척기,별점,냄새가 나긴하지만 가격대비 설치만족합니다.,평점4
SK매직 식기세척기,별점,"가성비 짱
좀 더 안쪽으로 설치했음 좋겠는데",평점4
SK매직 식기세척기,별점,"좋아요ㅎㅎ씽크대장
사이즈로다시만들고장짜넣고했네요ㅎㅎ설거지쌓아서하지않고기다렷다가돌려보니 뜨거운김이나면서
소독된식기류들
손으로하는것보다훨씬깨끗하네요",평점4
SK매직 식기세척기,별점,설치하는데 어려움은 있었지만 만족합니다.,평점4
SK매직 식기세척기,별점,기사님이 친절하게 잘 설치해주고 가셨어요,평점4
SK매직 식기세척기,별점,너무잘쓰고 있어요 내시간을 벌었다요~~^^,평점4
SK매직 식기세척기,별점,빌트인이라 다시 샀어요. 부디 오래쓰길~~~,평점4
SK매직 식기세척기,별점,만족합니다. 더 높은버전도 써보고 싶네요,평점4
SK매직 식기세척기,별점,생각보다 그릇이 많이 들어가진 않아요ㅠ,평점4
SK매직 식기세척기,별점,오래 되어도 단종이 안되서 다행이에요,평점4
SK매직 식기세척기,별점,더써봐야하겠지만 지금까진만족해요^^,평점4
SK매직 식기세척기,별점,친절하게잘설치해주셨어요감사해요ㅡ,평점4
SK매직 식기세척기,별점,비싼 식기세척기 필요없어요~~정말정말 만족해서 쓰고 있어요~스탠드로 그냥 쓰고 있고요. 냄새 나는거 전혀 없습니다. 진작에 살걸 후회만 하고 있습니다ㅎㅎㅎ,평점4
SK매직 식기세척기,별점,저녁에 주문하고 다음날 바로 왔어요!,평점4
SK매직 식기세척기,별점,설치 잘 해주셔서 살 자용하고 있어요,평점4
SK매직 식기세척기,별점,"빠른설치 좋네요
만족하며 사용합니다",평점4
SK매직 식기세척기,별점,"세척 잘되고 편해요
매일 이용할듯요",평점4
SK매직 식기세척기,별점,설치기사님 친절하게 잘 해주셨어요,평점4
SK매직 식기세척기,별점,"작동도 잘 되고, 디자인도 괜찮아요~",평점4
SK매직 식기세척기,별점,기사님도 친절하시고 가성비좋아요,평점4
SK매직 식기세척기,별점,배송시간을 잘 맞추어 주었습니다..,평점4
SK매직 식기세척기,별점,꼼꼼하게 설치 잘 해주셔서 좋아요,평점4
SK매직 식기세척기,별점,소음도 생각보다 적고 깨끗합니다,평점4
SK매직 식기세척기,별점,너무좋아서 친구집에 추천했어요,평점4
SK매직 식기세척기,별점,빌트인이라 위에 비어있는 공간이 있는것 빼고는 전체적으로 만족합니다^^,평점4
SK매직 식기세척기,별점,아주만족합니다.설겆이 걱정끝,평점4
SK매직 식기세척기,별점,잘사용하고 있습니다 좋아요~^^,평점4
SK매직 식기세척기,별점,사용상 많은 기술이 필요해요,평점4
SK매직 식기세척기,별점,세척은 좋은데 건조기능이 ㅠ,평점4
SK매직 식기세척기,별점,상하로 사용가능해서 좋아요,평점4
SK매직 식기세척기,별점,세척도 잘 되고 너무 좋아요~,평점4
SK매직 식기세척기,별점,"잘사용중입니다, 예전것보다 좀 덜씻긴다는 말도 들었으나 만족합니다",평점4
SK매직 식기세척기,별점,생활이달라졌습니다 좋네요,평점4
SK매직 식기세척기,별점,제품 좋네요. 감사합니다.,평점4
SK매직 식기세척기,별점,배송 및 설치 잘 하시네요,평점4
SK매직 식기세척기,별점,이모님 한 분이 생긴 느낌,평점4
SK매직 식기세척기,별점,크기도 좋고 만족 합니다!,평점4
SK매직 식기세척기,별점,저렴하게 구매했습니다~~,평점4
SK매직 식기세척기,별점,어머님선물만족하시네용,평점4
SK매직 식기세척기,별점,상세히 읽어보고 사세요,평점4
SK매직 식기세척기,별점,기본으로 샀는데.좋아요,평점4
SK매직 식기세척기,별점,사이즈도 딱맞고 좋네요,평점4
SK매직 식기세척기,별점,가격대비 아주 좋아요...,평점4
SK매직 식기세척기,별점,빨리왔어요 감사합니다,평점4
SK매직 식기세척기,별점,가격 대비 쓸만합니다.,평점4
SK매직 식기세척기,별점,식기세척기좋아요~~~~~,평점4
SK매직 식기세척기,별점,잘 사용하고 있습니다,평점4
SK매직 식기세척기,별점,"좋아여
배송도 빨라요",평점4
SK매직 식기세척기,별점,저렴하게 잘 샀습니다,평점4
SK매직 식기세척기,별점,빠른배송 고맙습니다,평점4
SK매직 식기세척기,별점,가성비가 꽤 좋아요.,평점4
SK매직 식기세척기,별점,빠른 배송 좋아요...,평점4
SK매직 식기세척기,별점,깔끔하고 좋아요~~~,평점4
SK매직 식기세척기,별점,세척 잘됩니다. .,평점4
SK매직 식기세척기,별점,"설치날짜가 바뀌었지만.
제품설치까지 마무리 잘되었습니다.",평점4
SK매직 식기세척기,별점,식세기 위에 인덕션이 있어 높이 때문에 인덕션 프레임까지 구입하긴 했지만 정말 좋아요~,평점4
SK매직 식기세척기,별점,만족합니다 소음이 조금 있지만 가성비가 좋다고 생각됩니다,평점4
SK매직 식기세척기,별점,문제없이 잘 쓰고 있어요. 세제도 보내주시고 빌트인이라 깔끔하고 좋아요. 매직만 두번째 쓰고 있어요,평점4
SK매직 식기세척기,별점,배성설치.잘받았습니다. 제품도 생각한대로 좋다고 합니다. 남동생에게 선물한건데 좋다고하니 다행입니다.,평점4
SK매직 식기세척기,별점,제품은 굉장히 맘에 들었습니다. 빌트인 설치가 굉장히 어려운 작업인가봐요~^^;,평점4
SK매직 식기세척기,별점,배송 좋고 ... 제품 좋습니다. / 씽크대 조금 작업하는데 5만원 좀.. 심한듯..,평점4
SK매직 식기세척기,별점,소음은 좀 있으나 가성비로 최고이다. 문 열리는 모델이 보편화 되기전 까지 .가성비 최고제품~~^^,평점4
SK매직 식기세척기,별점,"배송 빠르고 설치기사님 친절하세요~
도어가 뭔지 몰라서 나중에 추가로 구매 했고요~
작동 잘되네요~ 한가지 불편한건 린스가 얼마나 들어가고 추가로 들어가는 알림같은건 없네요",평점4
SK매직 식기세척기,별점,설치도잘해주셧고그릇도잘씻어져요!!!,평점4
SK매직 식기세척기,별점,삼성빌트인 고장나서 바꿨는데 제품상담을 친절히 해주셔서 좋아요,평점4
SK매직 식기세척기,별점,좋아요 잘쓸더 같아요 좀 써보고 또 올릴께요,평점4
SK매직 식기세척기,별점,배송이 좀 늦었지만 설치는 친절하게 잘 해 주셨음.,평점4
SK매직 식기세척기,별점,지인께선물했는데.배송기사님도친절하시다고.제품도아주좋다고만족해하세요,평점4
SK매직 식기세척기,별점,빠른배송 친절한 설치 좋아요!,평점4
SK매직 식기세척기,별점,"친절한
설치
설명 감사합니다.",평점4
SK매직 식기세척기,별점,"설겆이에서 해방~^^
간편설겆이는 30분도 안걸려요",평점4
SK매직 식기세척기,별점,설치배송 친절하세요:),평점4
SK매직 식기세척기,별점,좋아요 괜찬아요 마음에 들어요,평점4
SK매직 식기세척기,별점,잘 쓰겠습니다.감사합니다.,평점4
SK매직 식기세척기,별점,빠른배송 감사합니다 저렴히 잘 구매했어요 기사님도 정말 친절하셨어요,평점4
SK매직 식기세척기,별점,배송 잘 받았습니다. 감사합니다,평점4
SK매직 식기세척기,별점,배송 빠르고 설치도 빠르네요.,평점4
SK매직 식기세척기,별점,감사합니다. 만족합니다.,평점4
SK매직 식기세척기,별점,조용해서 좋아요 👍👍👍👍👍,평점4
SK매직 식기세척기,별점,좋아요 좋아요 좋아요옹,평점4
SK매직 식기세척기,별점,ㅇㄷㅇㄷㅈㄷㅈㄷㅊㅇㅈㅅㄷㅅㄷㅅㄷ,평점4
